network,station_code,label,active,lon,lat,elevation,type
BEOB,7FA0,Ftan,True,10.237352,46.792221,1710,
BEOB,7LD0,La Drossa,True,10.190103,46.653898,1710,
BEOB,7MA0,Maloja,True,9.697450,46.404609,1810,
BEOB,7MT0,Motta Naluns,True,10.271147,46.810560,2150,
BEOB,7MZ0,St.Moritz,True,9.838352,46.499200,1850,
BEOB,7PO0,Pontresina,False,9.907433,46.490501,1840,
BEOB,7PV0,Poschiavo,True,10.053833,46.324401,1015,
BEOB,7SC0,S-chanf,False,9.985061,46.611641,1660,
BEOB,7SD0,Samedan,True,9.866749,46.532895,1750,
BEOB,7SN0,Samnaun,True,10.395217,46.960534,1750,
BEOB,7ST0,Sta.Maria,True,10.424620,46.599910,1387,
BEOB,7SU0,Scuol,False,10.285834,46.793272,1285,
BEOB,7ZN0,Zernez,False,10.089996,46.697712,1475,
BEOB,7ZU0,Zuoz,True,9.962659,46.604580,1710,
